,dimanĉo,lundo,mardo,merkredo,ĵaŭdo,vendredo,sabato
0000h,,,,,,,
0015h,,,,,,,
0030h,,,,,,,
0045h,,,,,,,
0100h,,,,,,,
0115h,,,,,,,
0130h,,,,,,,
0145h,,,,,,,
0200h,,,,,,,
0215h,,,,,,,
0230h,,,,,,,
0245h,,,,,,,
0300h,,,,,,,
0315h,,,,,,,
0330h,,,,,,,
0345h,,,,,,,
0400h,,,,,,,
0415h,,,,,,,
0430h,,,,,,,
0445h,,,,,,,
0500h,,,,,,,
0515h,,,,,,,
0530h,,,,,,,
0545h,,,,,,,
0600h,,,,,,,
0615h,,,,,,,
0630h,,,,,,,
0645h,,,,,,,
0700h,,,,,rallos_fjn,,
0715h,,,,,rallos_fjn,,
0730h,,,,,rallos_fjn,,
0745h,,,,,rallos_fjn,,
0800h,,,,,rallos_fjn,,
0815h,,,,,rallos_fjn,,
0830h,,,delrosario_ejt,pagulayan_cb,"baria_hg
delrosario_ejt
rallos_fjn",pagulayan_cb,
0845h,,,delrosario_ejt,pagulayan_cb,"baria_hg
delrosario_ejt
rallos_fjn",pagulayan_cb,
0900h,,,"baria_hg
delrosario_ejt",pagulayan_cb,"baria_hg
delrosario_ejt
rallos_fjn",pagulayan_cb,
0915h,,,"baria_hg
delrosario_ejt",pagulayan_cb,"baria_hg
delrosario_ejt
rallos_fjn",pagulayan_cb,
0930h,,,"baria_hg
delrosario_ejt",pagulayan_cb,"baria_hg
delrosario_ejt
rallos_fjn",pagulayan_cb,
0945h,,,"baria_hg
delrosario_ejt",pagulayan_cb,"baria_hg
delrosario_ejt
rallos_fjn",pagulayan_cb,
1000h,,,"baria_hg
luman_so
virtucio_ca","baria_hg
rallos_fjn","baria_hg
luman_so
rallos_fjn
virtucio_ca","baria_hg
rallos_fjn",
1015h,,,"baria_hg
luman_so
virtucio_ca","baria_hg
rallos_fjn","baria_hg
luman_so
rallos_fjn
virtucio_ca","baria_hg
rallos_fjn",
1030h,,,"baria_hg
luman_so
virtucio_ca","baria_hg
rallos_fjn","baria_hg
luman_so
rallos_fjn
virtucio_ca","baria_hg
rallos_fjn",
1045h,,,"baria_hg
luman_so
virtucio_ca","baria_hg
rallos_fjn","baria_hg
luman_so
rallos_fjn
virtucio_ca","baria_hg
rallos_fjn",
1100h,,,"luman_so
virtucio_ca",baria_hg,"baria_hg
luman_so
rallos_fjn
virtucio_ca",baria_hg,
1115h,,,"luman_so
virtucio_ca",baria_hg,"baria_hg
luman_so
rallos_fjn
virtucio_ca",baria_hg,
1130h,,,"luman_so
pagulayan_cb
virtucio_ca","baria_hg
delrosario_ejt
pagulayan_cb
virtucio_ca","luman_so
pagulayan_cb
rallos_fjn
virtucio_ca","baria_hg
delrosario_ejt
pagulayan_cb
virtucio_ca",
